month_year,response_time
2019-08,13.503722222222223
2020-01,461.64166666666665
2020-03,63.02587962962963
2020-04,27.55441666666667
2020-06,5122.558246007984
2020-07,91.63849673202614
2020-08,-40.03532032032032
2020-09,23.883628747795424
2020-10,-33.67101614434948
2020-11,-19.468829268292676
2020-12,-26.64851485148514
2021-01,-127.99563109161792
2021-02,-0.24365885416666702
2021-03,-0.9297643097643095
2021-04,-367.69139933166247
2021-05,-57.33072530864197
2021-06,-21.37455314009662
2021-07,-192.1095034348865
2021-08,-100.44996666666667
2021-09,-17.886710858585857
2021-10,-307.70639192471157
2021-11,-411.2360497253055
2021-12,-306.3157483781279
2022-01,-242.98599942200462
2022-02,-220.4909772511155
2022-03,-182.84726615396656
2022-04,-151.27130726803665
2022-05,-79.59610410741826
2022-06,-114.74842998787359
2022-07,-185.5564533164343
2022-08,-66.58360360627246
2022-09,-27.43328391863366
2022-10,75.86856535499122
2022-11,33.074086698738235
2022-12,-27.705760497000856
2023-01,48.95439963400901
2023-02,21.29104861111111
2023-03,91.05970563253172
2023-04,965.789216328963
