reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,cleaned_review,polarity,subjectivity,rating
d2f8c656-d3e4-4e70-8ad6-a81e05e96cb7,Piyush Seju,https://play-lh.googleusercontent.com/a-/ACB-R5RYemSBxqbnl3VHge7pFqfMiwConfiIbsT1hm3fNQ,Poor app very bugs in this payments app. 🥲🥲,1,0,2.1.4,2022-10-25 19:10:20,"
Hi Piyush, we apologize for the inconvenience caused to you, it was never our
intention. If you could explain your issue to us by emailing us at sonam@fampay.in, we shall do everything in our power to turn this around!
",2022-11-02 23:58:52,poor app very bugs in this payments app    ,-0.1,0.44999999999999996,1
afa6c288-ebfe-481e-9261-4092b2ddb1cc,MOODY PERSON,https://play-lh.googleusercontent.com/a-/ACB-R5QqwBVWe0SAVR36x2fQWLBqOg7hg5fbZJ9vTq11GA,Sabse bekaar app h koi download mat kerna Inka server hmesha khraab rhta h paise hmesha pay nhi hote,1,0,2.2.7,2023-01-19 14:27:37,"
Hi, we apologize for the inconvenience caused to you, it was never our intention. If you could explain your issue to us by emailing us at sonam@fampay.in, we shall do everything in our power to turn this around!

",2023-01-19 14:50:56,sabse bekaar app h koi download mat kerna inka server hmesha khraab rhta h paise hmesha pay nhi hote,0.0,0.0,1
0985f56d-a666-4a1e-8e1e-f03eaa3c64a8,sohail memon,https://play-lh.googleusercontent.com/a-/ACB-R5TDed2-ocATEDYGzr3wT96p32GKfKFbSUbW2Zjf,Bad App Mera Account Hi Nhi Khul Rha H,1,0,1.9.7,2022-06-18 11:39:06,"
Hi Sohail, we're sorry for the unpleasant experience. Please share your concern along with your registered mobile number via email at  sonam@fampay.in so that we can look into this & assist you better.

",2022-06-18 12:27:13,bad app mera account hi nhi khul rha h,-0.6999999999999998,0.6666666666666666,1
306095e5-b935-4e1c-8ebc-445ee99817fc,Mohd Umar,https://play-lh.googleusercontent.com/a/AGNmyxaEA7IKuyu_wi0l0ylAPFr8ihxub2OWZck23pqg=mo,Very very very bad suver app,1,0,2.1.7,2022-11-13 13:04:36,"
Hi Umar, we apologise for the inconvenience caused to you, it was never our intention. If you could explain your issue to us by emailing us at sonam@fampay.in, we shall do everything in our power to turn this around!
",2022-11-18 15:08:45,very very very bad suver app,-0.9099999999999998,0.8666666666666667,1
830c0465-9861-4040-9bc4-855c40501876,Sahitya Sharma,https://play-lh.googleusercontent.com/a-/ACB-R5Toj-z2TFsEUVgOvPnBZzrgYJhXYLFQdA0Xa2wYbg,I didnt get any support from this app i have mailed so much time but no one is replying and i am calling but no call support my money was deducted from my account but doesnt recive to reciver and it is proceessed since last three day.please fampay your are a payment app you have to provide us support,1,4,1.0.9,2020-12-11 05:52:04,Hey Sahitya We are sorry for the inconvenience caused. The refund processes take anywhere between 5-7 business days and we assure you that your issue is being taken care. For any further queries please write to us at support@fampay.in -Team FamPay,2020-12-12 13:20:40,i didnt get any support from this app i have mailed so much time but no one is replying and i am calling but no call support my money was deducted from my account but doesnt recive to reciver and it is proceessed since last three day please fampay your are a payment app you have to provide us support,0.1,0.13333333333333333,1
4413ac81-5427-4c00-b0c0-dfcc4a0271e8,Jem Hauzel,https://play-lh.googleusercontent.com/a/AGNmyxZnt6xyPDM7EIxF4CB-29BWR-V8coNgOCt7x7GR=mo,Processing and nothing else but processing,1,0,2.1.7,2022-11-16 19:19:57,"
Hi buddy, we're sorry to hear that. We'd like to understand the issue and help you with it. Kindly write to us with details of our issue and your registered mobile number at  sonam@fampay.in, We will check and get back to you on this.",2022-11-17 01:47:59,processing and nothing else but processing,0.0,0.0,1
65a6f324-ac82-4d4b-bc7c-83474512b78f,Priyansh Banerjee,https://play-lh.googleusercontent.com/a-/ACB-R5RR7YK2GNE0SdjxZCsz6sXiPmKCjxWfNAk-ogezAQ,No rewards even when they promise.,1,0,2.0.0,2022-07-17 10:37:49,"
Hi there, we're sorry to hear that. We'd like to understand the issue and help you with it. Kindly write to us with details of our issue and your registered mobile number at  sonam@fampay.in, We will check and get back to you on this.

",2022-07-17 17:29:39,no rewards even when they promise ,0.0,0.0,1
92fd2915-a6ee-4a3a-a563-a1e3a610b0fd,Moin Sheikh,https://play-lh.googleusercontent.com/a-/ACB-R5Te8_TT0Qd3FV-w5niWCr9LyMHcU9nBUQZBIzBiWg,Worst App For Ever I Don't Recommend This App My Aadhar KYC Is Expire On 6Months I Failed To Pay Evryone But Don't Show KYC Update Option Very Worst Experience 🤮🤬,1,0,2.1.4,2022-10-18 21:57:51,"
Hi buddy, we would like to know more about it. Please write to us at  sonam@fampay.in with relevant details elaborating on your issue so we can set this right for you.",2022-10-20 01:07:28,worst app for ever i don t recommend this app my aadhar kyc is expire on  months i failed to pay evryone but don t show kyc update option very worst experience   ,-0.8333333333333334,0.7666666666666666,1
c5804a3e-c1de-46b2-9e9c-c1721b954f06,Arsh Khan,https://play-lh.googleusercontent.com/a-/ACB-R5Rl762gaQznq1WBNcByutsbY0rYWlSMmBX_7hyIow,It is a good app and easy to use but has way to many issues of payments getting stuck half way through....i am having to regularly wait for atleast 10 min for payment to go through...app crashes a lot too and when ever u need to pay urgently UPIs are down,1,0,2.8.4,2023-02-06 19:06:10,,,it is a good app and easy to use but has way to many issues of payments getting stuck half way through    i am having to regularly wait for atleast    min for payment to go through   app crashes a lot too and when ever u need to pay urgently upis are down,0.21851851851851847,0.41096866096866097,1
a855131b-0b5c-4332-b338-b95a17ac41b4,Appa Late,https://play-lh.googleusercontent.com/a-/ACB-R5TVLfVV3-_DwNTSBXEBJ4lODxy7nw1ekvmUS8oTBQ,amazing,1,0,1.5.8,2021-09-06 21:50:59,,,amazing,0.6000000000000001,0.9,1
91ed9950-c214-4d0e-8762-db304f2c0817,Abdul haq,https://play-lh.googleusercontent.com/a-/ACB-R5Q84EfsKPkEA_23mtTgUPFcWB6TvYoXobDuOjNxvQ,Very disgusting app,1,0,2.9.3,2023-02-26 00:41:52,,,very disgusting app,-1.0,1.0,1
a3a658ac-b89e-476c-8816-6754f962decb,Sachin 07,https://play-lh.googleusercontent.com/a-/ACB-R5REwylWZ0V6OM-aUCmG3uovzM0vCsQ8xeULHbAGPg,Very bad servive,1,0,2.9.9,2023-03-22 00:33:30,"
Hi Sachin, we're sorry to hear that. We'd like to understand the issue and help you with it. Kindly write to us with details of our issue and your registered mobile number at  sonam@fampay.in, We will check and get back to you on this.",2023-03-23 19:04:31,very bad servive,-0.9099999999999998,0.8666666666666667,1
6231a197-b1ac-4c0d-87a2-b58a5a61574a,Vigneesh JV,https://play-lh.googleusercontent.com/a-/ACB-R5RJwtE_7VsFUPpeSf-lX0Saw-8Qa3Qf_zHsXr4KZg,Can't even verify,1,0,1.7.7,2022-03-06 22:24:36,"
Hi Vigneesh, we're sorry to hear that. We'd like to understand the issue and help you with it. Kindly write to us with details of our issue and your registered mobile number at  sonam@fampay.in, We will check and get back to you on this.

",2022-03-07 12:46:47,can t even verify,0.0,0.0,1
09d8d7eb-67f4-4270-8753-4a59fc98c01c,funny gaurav,https://play-lh.googleusercontent.com/a/AGNmyxZSdijsgkYohLCjuPIWBUlpb73mT_4UH18Ub_1G=mo,Very bad services please don't download this aap my money is only in processing from 3 days please don't use this aap,1,0,2.9.0,2023-02-20 09:42:22,,,very bad services please don t download this aap my money is only in processing from   days please don t use this aap,-0.4549999999999999,0.9333333333333333,1
